Rt,Rt_1,Rt_2,Rt_3,Rt_4,Rt_5,Qt
0.878,25.06,3.613,8.19,1.608,28.16,299
0,0.878,25.06,3.613,8.19,1.608,182
25.527,0,0.878,25.06,3.613,8.19,151
36.896,25.527,0,0.878,25.06,3.613,561
6.184,36.896,25.527,0,0.878,25.06,384
12.673,6.184,36.896,25.527,0,0.878,649
1.952,12.673,6.184,36.896,25.527,0,366
8.429,1.952,12.673,6.184,36.896,25.527,303
2.706,8.429,1.952,12.673,6.184,36.896,250
0.161,2.706,8.429,1.952,12.673,6.184,197
10.811,0.161,2.706,8.429,1.952,12.673,178
6.628,10.811,0.161,2.706,8.429,1.952,309
39.986,6.628,10.811,0.161,2.706,8.429,536
33.425,39.986,6.628,10.811,0.161,2.706,752
14.542,33.425,39.986,6.628,10.811,0.161,502
1.958,14.542,33.425,39.986,6.628,10.811,199
0.186,1.958,14.542,33.425,39.986,6.628,184
3.39,0.186,1.958,14.542,33.425,39.986,161
8.899,3.39,0.186,1.958,14.542,33.425,284
6.192,8.899,3.39,0.186,1.958,14.542,288
18.963,6.192,8.899,3.39,0.186,1.958,341
36.2,18.963,6.192,8.899,3.39,0.186,736
28.685,36.2,18.963,6.192,8.899,3.39,835
3.798,28.685,36.2,18.963,6.192,8.899,501
0.704,3.798,28.685,36.2,18.963,6.192,213
3.893,0.704,3.798,28.685,36.2,18.963,231
56.954,3.893,0.704,3.798,28.685,36.2,355
53.73,56.954,3.893,0.704,3.798,28.685,519
45.765,53.73,56.954,3.893,0.704,3.798,1590
29.993,45.765,53.73,56.954,3.893,0.704,1420
6.074,29.993,45.765,53.73,56.954,3.893,489
4.213,6.074,29.993,45.765,53.73,56.954,339
1.69,4.213,6.074,29.993,45.765,53.73,252
2.058,1.69,4.213,6.074,29.993,45.765,237
7.749,2.058,1.69,4.213,6.074,29.993,205
8.067,7.749,2.058,1.69,4.213,6.074,181
1.323,8.067,7.749,2.058,1.69,4.213,165
0,1.323,8.067,7.749,2.058,1.69,125
0,0,1.323,8.067,7.749,2.058,122
0,0,0,1.323,8.067,7.749,114
127.07,0,0,0,1.323,8.067,703
118.83,127.07,0,0,0,1.323,3040
7.7,118.83,127.07,0,0,0,1504
24.326,7.7,118.83,127.07,0,0,1030
0.578,24.326,7.7,118.83,127.07,0,745
2.1,0.578,24.326,7.7,118.83,127.07,453
0,2.1,0.578,24.326,7.7,118.83,364
0.414,0,2.1,0.578,24.326,7.7,319
0.196,0.414,0,2.1,0.578,24.326,258
7.542,0.196,0.414,0,2.1,0.578,222
0.442,7.542,0.196,0.414,0,2.1,204
0.714,0.442,7.542,0.196,0.414,0,193
0.322,0.714,0.442,7.542,0.196,0.414,183
9.387,0.322,0.714,0.442,7.542,0.196,271
0,9.387,0.322,0.714,0.442,7.542,175
0,0,9.387,0.322,0.714,0.442,167
47.439,0,0,9.387,0.322,0.714,367
45.913,47.439,0,0,9.387,0.322,509
34.283,45.913,47.439,0,0,9.387,681
30.159,34.283,45.913,47.439,0,0,587
8.423,30.159,34.283,45.913,47.439,0,449
26.241,8.423,30.159,34.283,45.913,47.439,618
0.752,26.241,8.423,30.159,34.283,45.913,392
2.504,0.752,26.241,8.423,30.159,34.283,239
6.479,2.504,0.752,26.241,8.423,30.159,279
5.248,6.479,2.504,0.752,26.241,8.423,368
0,5.248,6.479,2.504,0.752,26.241,283
3.726,0,5.248,6.479,2.504,0.752,276
2.116,3.726,0,5.248,6.479,2.504,232
0.232,2.116,3.726,0,5.248,6.479,232
0.42,0.232,2.116,3.726,0,5.248,206
102.01,0.42,0.232,2.116,3.726,0,223
19.656,102.01,0.42,0.232,2.116,3.726,1970
5.31,19.656,102.01,0.42,0.232,2.116,763
57.999,5.31,19.656,102.01,0.42,0.232,598
0,57.999,5.31,19.656,102.01,0.42,810
0,0,57.999,5.31,19.656,102.01,447
4.554,0,0,57.999,5.31,19.656,387
18.835,4.554,0,0,57.999,5.31,326
24.822,18.835,4.554,0,0,57.999,443
0.023,24.822,18.835,4.554,0,0,514
0,0.023,24.822,18.835,4.554,0,294
6.839,0,0.023,24.822,18.835,4.554,318
12.663,6.839,0,0.023,24.822,18.835,444
31.752,12.663,6.839,0,0.023,24.822,613
51.739,31.752,12.663,6.839,0,0.023,843
2.241,51.739,31.752,12.663,6.839,0,576
0.084,2.241,51.739,31.752,12.663,6.839,299
28.812,0.084,2.241,51.739,31.752,12.663,410
7.623,28.812,0.084,2.241,51.739,31.752,392
25.893,7.623,28.812,0.084,2.241,51.739,500
3.926,25.893,7.623,28.812,0.084,2.241,384
13.478,3.926,25.893,7.623,28.812,0.084,438
3.011,13.478,3.926,25.893,7.623,28.812,212
0,3.011,13.478,3.926,25.893,7.623,194
0,0,3.011,13.478,3.926,25.893,181
0,0,0,3.011,13.478,3.926,167
0,0,0,0,3.011,13.478,170
0,0,0,0,0,3.011,162
0,0,0,0,0,0,167
0,0,0,0,0,0,161
0,0,0,0,0,0,153
0,0,0,0,0,0,150
0,0,0,0,0,0,148
0,0,0,0,0,0,145
0,0,0,0,0,0,143
0,0,0,0,0,0,139
0,0,0,0,0,0,134
0,0,0,0,0,0,129
0,0,0,0,0,0,125
0,0,0,0,0,0,123
0,0,0,0,0,0,120
0,0,0,0,0,0,117
0,0,0,0,0,0,113
0,0,0,0,0,0,111
0,0,0,0,0,0,107
0,0,0,0,0,0,105
0,0,0,0,0,0,103
0,0,0,0,0,0,99.8
0,0,0,0,0,0,97.4
0,0,0,0,0,0,94.4
0,0,0,0,0,0,92
0,0,0,0,0,0,90.2
0,0,0,0,0,0,89
0,0,0,0,0,0,87.8
0,0,0,0,0,0,86.6
0,0,0,0,0,0,83.6
0,0,0,0,0,0,81.5
0,0,0,0,0,0,78.8
0,0,0,0,0,0,77.6
0,0,0,0,0,0,77
0,0,0,0,0,0,75.2
0,0,0,0,0,0,73.4
0,0,0,0,0,0,71.6
0,0,0,0,0,0,69.8
0,0,0,0,0,0,68
0,0,0,0,0,0,66.4
0,0,0,0,0,0,64.8
0,0,0,0,0,0,63.2
0,0,0,0,0,0,61.6
0,0,0,0,0,0,60
0,0,0,0,0,0,60
0,0,0,0,0,0,58.4
0,0,0,0,0,0,56.8
0,0,0,0,0,0,55.2
0,0,0,0,0,0,53.6
0,0,0,0,0,0,52
0,0,0,0,0,0,50.6
0,0,0,0,0,0,49.2
0,0,0,0,0,0,47.8
0,0,0,0,0,0,46.4
0,0,0,0,0,0,45
0,0,0,0,0,0,43.6
0,0,0,0,0,0,42.2
0,0,0,0,0,0,40.8
0,0,0,0,0,0,39.4
0,0,0,0,0,0,38
0,0,0,0,0,0,36.8
0,0,0,0,0,0,35.6
0,0,0,0,0,0,34.4
0,0,0,0,0,0,33.2
0,0,0,0,0,0,32
0,0,0,0,0,0,30.8
0,0,0,0,0,0,29.6
0,0,0,0,0,0,28.4
0,0,0,0,0,0,28.4
0,0,0,0,0,0,27.2
0,0,0,0,0,0,26
0,0,0,0,0,0,26
4.487,0,0,0,0,0,26
6.817,4.487,0,0,0,0,28.8
10.918,6.817,4.487,0,0,0,46.4
1.012,10.918,6.817,4.487,0,0,87.8
0,1.012,10.918,6.817,4.487,0,56.8
0,0,1.012,10.918,6.817,4.487,41.3
0,0,0,1.012,10.918,6.817,35.2
0,0,0,0,1.012,10.918,32.4
0,0,0,0,0,1.012,34.4
0,0,0,0,0,0,31.2
0,0,0,0,0,0,29.2
0,0,0,0,0,0,27.2
0,0,0,0,0,0,26
0,0,0,0,0,0,25.1
0,0,0,0,0,0,24.2
0,0,0,0,0,0,24.2
0,0,0,0,0,0,23
0,0,0,0,0,0,21.8
0,0,0,0,0,0,20.6
0,0,0,0,0,0,19.7
0,0,0,0,0,0,18.8
0,0,0,0,0,0,17.9
0,0,0,0,0,0,17
0,0,0,0,0,0,16.5
0,0,0,0,0,0,16
0,0,0,0,0,0,15.5
0,0,0,0,0,0,15
0,0,0,0,0,0,14.5
0,0,0,0,0,0,14
0,0,0,0,0,0,13.5
0,0,0,0,0,0,13
0,0,0,0,0,0,12.5
0,0,0,0,0,0,12
0,0,0,0,0,0,12
0,0,0,0,0,0,12
0,0,0,0,0,0,11.6
0,0,0,0,0,0,11.6
0,0,0,0,0,0,11.2
0,0,0,0,0,0,11.2
0,0,0,0,0,0,11.2
0,0,0,0,0,0,10.9
0,0,0,0,0,0,10.5
0,0,0,0,0,0,10.5
0,0,0,0,0,0,10.1
0,0,0,0,0,0,10.1
0,0,0,0,0,0,9.72
0,0,0,0,0,0,9.72
0,0,0,0,0,0,9.34
0,0,0,0,0,0,8.96
0,0,0,0,0,0,8.58
0,0,0,0,0,0,8.2
0,0,0,0,0,0,8.2
0,0,0,0,0,0,7.93
0,0,0,0,0,0,7.93
0,0,0,0,0,0,7.66
0,0,0,0,0,0,7.66
0,0,0,0,0,0,7.93
0,0,0,0,0,0,8.11
3.448,0,0,0,0,0,8.71
1.386,3.448,0,0,0,0,10.4
0,1.386,3.448,0,0,0,10.1
0,0,1.386,3.448,0,0,9.34
0,0,0,1.386,3.448,0,8.96
0,0,0,0,1.386,3.448,8.58
6.503,0,0,0,0,1.386,8.96
1.564,6.503,0,0,0,0,18.2
0,1.564,6.503,0,0,0,14.5
0,0,1.564,6.503,0,0,11.6
0,0,0,1.564,6.503,0,10.9
0,0,0,0,1.564,6.503,10.1
0,0,0,0,0,1.564,9.09
0,0,0,0,0,0,8.33
0,0,0,0,0,0,7.66
0.07,0,0,0,0,0,7.39
0,0.07,0,0,0,0,7.12
0,0,0.07,0,0,0,6.85
0,0,0,0.07,0,0,6.58
0,0,0,0,0.07,0,6.31
0,0,0,0,0,0.07,6.04
0,0,0,0,0,0,5.77
0,0,0,0,0,0,5.5
0,0,0,0,0,0,5.5
0,0,0,0,0,0,5.45
6.516,0,0,0,0,0,6.49
1.262,6.516,0,0,0,0,8.53
0,1.262,6.516,0,0,0,8.96
0,0,1.262,6.516,0,0,7.48
0,0,0,1.262,6.516,0,7.12
0,0,0,0,1.262,6.516,6.85
0,0,0,0,0,1.262,6.58
0.69,0,0,0,0,0,6.58
26.726,0.69,0,0,0,0,100
0,26.726,0.69,0,0,0,55.6
0,0,26.726,0.69,0,0,24.3
0,0,0,26.726,0.69,0,15.5
0,0,0,0,26.726,0.69,12
0,0,0,0,0,26.726,10.5
0,0,0,0,0,0,9.59
0,0,0,0,0,0,8.96
0,0,0,0,0,0,8.58
3.933,0,0,0,0,0,12
0,3.933,0,0,0,0,11.2
0,0,3.933,0,0,0,9.34
0,0,0,3.933,0,0,7.93
0,0,0,0,3.933,0,7.3
0,0,0,0,0,3.933,6.85
0,0,0,0,0,0,6.04
0,0,0,0,0,0,5.47
0,0,0,0,0,0,5.45
0,0,0,0,0,0,5.4
0,0,0,0,0,0,5.25
0,0,0,0,0,0,5.25
0,0,0,0,0,0,5.2
0,0,0,0,0,0,5.15
1.334,0,0,0,0,0,5.1
2.03,1.334,0,0,0,0,5.87
0,2.03,1.334,0,0,0,5.57
0,0,2.03,1.334,0,0,5.35
0,0,0,2.03,1.334,0,5.95
0.924,0,0,0,2.03,1.334,5.48
2.606,0.924,0,0,0,2.03,7.12
5.38,2.606,0.924,0,0,0,6.76
2.31,5.38,2.606,0.924,0,0,12.5
10.404,2.31,5.38,2.606,0.924,0,19.1
1.748,10.404,2.31,5.38,2.606,0.924,13.5
0,1.748,10.404,2.31,5.38,2.606,10.7
0,0,1.748,10.404,2.31,5.38,10.1
0,0,0,1.748,10.404,2.31,8.71
0,0,0,0,1.748,10.404,7.48
6.363,0,0,0,0,1.748,7.12
0,6.363,0,0,0,0,11.9
0.966,0,6.363,0,0,0,6.58
0,0.966,0,6.363,0,0,7.21
0,0,0.966,0,6.363,0,5.59
