Date,Rt,R_t_1,R_t_2,R_t_3,R_t_4,R_t_5,R_t_6,R_t_7,R_t_8,Qt
09/10/2000,15.7,11.8,1.6,2.8,1.1,7.7,7.7,2.9,12.9,70.3
10/10/2000,21.4,15.7,11.8,1.6,2.8,1.1,7.7,7.7,2.9,73.51
11/10/2000,10.3,21.4,15.7,11.8,1.6,2.8,1.1,7.7,7.7,96.17
12/10/2000,21.9,10.3,21.4,15.7,11.8,1.6,2.8,1.1,7.7,132.6
13/10/2000,2.7,21.9,10.3,21.4,15.7,11.8,1.6,2.8,1.1,119.7
14/10/2000,4.8,2.7,21.9,10.3,21.4,15.7,11.8,1.6,2.8,85.28
15/10/2000,0.7,4.8,2.7,21.9,10.3,21.4,15.7,11.8,1.6,66.43
16/10/2000,2.4,0.7,4.8,2.7,21.9,10.3,21.4,15.7,11.8,52.92
17/10/2000,16.9,2.4,0.7,4.8,2.7,21.9,10.3,21.4,15.7,66.25
18/10/2000,2.4,16.9,2.4,0.7,4.8,2.7,21.9,10.3,21.4,69.45
19/10/2000,7.4,2.4,16.9,2.4,0.7,4.8,2.7,21.9,10.3,55.04
20/10/2000,3.9,7.4,2.4,16.9,2.4,0.7,4.8,2.7,21.9,58.58
21/10/2000,0,3.9,7.4,2.4,16.9,2.4,0.7,4.8,2.7,48.01
22/10/2000,10.7,0,3.9,7.4,2.4,16.9,2.4,0.7,4.8,46.4
23/10/2000,2.9,10.7,0,3.9,7.4,2.4,16.9,2.4,0.7,50.37
24/10/2000,8.3,2.9,10.7,0,3.9,7.4,2.4,16.9,2.4,47.48
25/10/2000,0.1,8.3,2.9,10.7,0,3.9,7.4,2.4,16.9,48.82
26/10/2000,16.8,0.1,8.3,2.9,10.7,0,3.9,7.4,2.4,45.35
27/10/2000,8.2,16.8,0.1,8.3,2.9,10.7,0,3.9,7.4,64.34
28/10/2000,24.7,8.2,16.8,0.1,8.3,2.9,10.7,0,3.9,133
29/10/2000,54,24.7,8.2,16.8,0.1,8.3,2.9,10.7,0,183.2
30/10/2000,13.2,54,24.7,8.2,16.8,0.1,8.3,2.9,10.7,293.8
31/10/2000,5,13.2,54,24.7,8.2,16.8,0.1,8.3,2.9,204.6
01/11/2000,12.5,5,13.2,54,24.7,8.2,16.8,0.1,8.3,144
02/11/2000,12.7,12.5,5,13.2,54,24.7,8.2,16.8,0.1,128.9
03/11/2000,4.9,12.7,12.5,5,13.2,54,24.7,8.2,16.8,108
04/11/2000,1.6,4.9,12.7,12.5,5,13.2,54,24.7,8.2,89.19
05/11/2000,25.8,1.6,4.9,12.7,12.5,5,13.2,54,24.7,109.8
06/11/2000,1,25.8,1.6,4.9,12.7,12.5,5,13.2,54,124.6
07/11/2000,5.2,1,25.8,1.6,4.9,12.7,12.5,5,13.2,94.47
08/11/2000,12.8,5.2,1,25.8,1.6,4.9,12.7,12.5,5,95.28
09/11/2000,2,12.8,5.2,1,25.8,1.6,4.9,12.7,12.5,79.65
10/11/2000,9.3,2,12.8,5.2,1,25.8,1.6,4.9,12.7,70.1
11/11/2000,13.6,9.3,2,12.8,5.2,1,25.8,1.6,4.9,79.21
12/11/2000,2,13.6,9.3,2,12.8,5.2,1,25.8,1.6,76.5
13/11/2000,5.7,2,13.6,9.3,2,12.8,5.2,1,25.8,65.17
14/11/2000,7.3,5.7,2,13.6,9.3,2,12.8,5.2,1,72.2
15/11/2000,11.8,7.3,5.7,2,13.6,9.3,2,12.8,5.2,62.7
16/11/2000,4,11.8,7.3,5.7,2,13.6,9.3,2,12.8,64.09
17/11/2000,2.5,4,11.8,7.3,5.7,2,13.6,9.3,2,56.35
18/11/2000,17.3,2.5,4,11.8,7.3,5.7,2,13.6,9.3,52.98
19/11/2000,11.2,17.3,2.5,4,11.8,7.3,5.7,2,13.6,79.04
